No,Title,Lyric,Anak,Remaja,Dewasa
1,Lirik Lagu Ade Irma Suryani - Lagu Anak Indonesia,Akan kuingat selaluAde irma suryaniWaktu dipeluk dipangku ibuDengan segala kasihKini ia terbaring dipangkuan tuhanSenang dan bahagia hatinyaKini ia terlena tertidur terbaringNyenyak dipelukan tuhannya,1,0,0
2,Lirik Lagu Adik Jangan Cengeng - Joshua,Adikku sayang janganlah menangisMama pergi tidak lama lamaBeli susu untuk adikku sayangJosheph sayang ayolah bermain sama kak JoNonton tv saja film kartun ini asyik sekaliAdikku Josheph janganlah rewelNanti kak Jo bingung sendiriAdikku sayang minumlah susuNanti mama segera pulangAdikku jangan nakalAdikku jangan rewelAdikku jangan cengeng,1,0,0
3,Lirik Lagu Aku Anak Gembala - Tasya,"Aku adalah anak gembalaSelalu riang serta gembiraKarena aku senang bekerjaTak pernah malas ataupun lengahTralala la la la latralala la la la la la laSetiap hariku bawa ternak ke padang rumput,di kaki bukit rumputnya hijau,subur dan banyakTernakku makan tak pernah sedikit Tralala",1,0,0
4,Lirik Lagu Aku Anak Indonesia - Tasya,Aku anak indonesiaAnak yang merdekaSatu nusakuSatu bangsakuSatu bahasakuIndonesia...indonesiaAku bangga menjadi anak indonesiaPending di khatulistiwaTanahku indonesiaIbu pulaunyaRagam sukunyaSatu jiwa raganya,1,0,0
5,Lirik Lagu Aku Anak Raja - Lagu Sekolah Minggu,Aku anak RajaEngkau anak RajaKita semua anak RajaTangan di lambai-lambaiPinggul di goyang-goyangKaki di sentak-sentakPutar badan,1,0,0
6,Lirik Lagu Aku Seorang Kapiten - Lagu Anak Indones,Aku seorang KapitenMempunyai pedang panjangKalau berjalan prok-prok-prokAku seorang Kapiten,1,0,0
7,Lirik Lagu Ambilkan Bulan Bu - Tasya,"Ambilkan bulan bu,Ambilkan bulan BuYang selalu bersinar di langitDi langit bulan benderangCahayanya sampai ke bintangAmbilkan bulan BuUntuk menerangi,tidurku yang lelapDi malam gelap",1,0,0
8,Lirik Lagu Amrin Membolos - Lagu Anak Indonesia,Aku punya teman Amrin namanyaAnaknya periang suka tertawaPernah ia lupa masuk sekolahBerkeliling kota tidak mengenal lelahAmrin membolosKata Bu Guru jangan membolosMenyusahkan ibuIbu amat susah si Amrin lariPergi dengan Ayah untuk mencariAyah ke Polisi dan pusat PanduYang segera mencariAmrin pulang kembali,1,0,0
9,Lirik Lagu Anak Ajaib - Joshua,"Hai anak ajaib selalu jadi idolaHai, anak ajaib memang sungguh jeniusSaat orang butuh di tolong, kau bagai malaikatSaat orang sedang bersedihKau buatnya tertawa haHai, anak ajaib selalu jadi impianHai,anak ajaib selalu banyak temanSaat orang butuh di tolong, kau bagai malaikatSaat orang sedang bersedihKau buatnya tertawa haHai,anak ajaib selalu jadi idolaHai,anak ajaibMemang sungguh jenaka",1,0,0
10,Lirik Lagu Anak Mama - Joshua,Siapa pintar anak mamaSiapa pandai anak papaSiapa rajin anak mama papaSiapa malas bukan anak mamaAyo kawan bersama membaca dan menulis buku-buku pelajaranSekolah jangan malas membaca jangan malasMenulis kalau ingin jadi anak yang pintarKalau pintar mama sayangKalau pandai papa sayangKalau rajin ibu guru sayangSayang sayang sayangSemuanya sayang,1,0,0
